Wavenumber(cm-1),Intensity
2.164300341296928309e+03,9.487895716945996538e-01
2.164095563139931528e+03,9.487895716945996538e-01
2.162593856655289983e+03,9.487895716945996538e-01
2.162457337883959099e+03,9.487895716945996538e-01
2.167372013651877296e+03,9.478584729981378576e-01
2.165938566552901193e+03,9.478584729981378576e-01
2.165733788395904412e+03,9.478584729981378576e-01
2.164300341296928309e+03,9.478584729981378576e-01
2.164095563139931528e+03,9.478584729981378576e-01
2.162593856655289983e+03,9.478584729981378576e-01
2.162457337883959099e+03,9.478584729981378576e-01
2.167508532423208180e+03,9.469273743016759504e-01
2.167372013651877296e+03,9.469273743016759504e-01
2.165938566552901193e+03,9.469273743016759504e-01
2.165733788395904412e+03,9.469273743016759504e-01
2.164300341296928309e+03,9.469273743016759504e-01
2.164095563139931528e+03,9.469273743016759504e-01
2.162593856655289983e+03,9.469273743016759504e-01
2.162457337883959099e+03,9.469273743016759504e-01
2.167508532423208180e+03,9.459962756052141541e-01
2.167372013651877296e+03,9.459962756052141541e-01
2.165938566552901193e+03,9.459962756052141541e-01
2.165733788395904412e+03,9.459962756052141541e-01
2.164300341296928309e+03,9.459962756052141541e-01
2.164095563139931528e+03,9.459962756052141541e-01
2.162593856655289983e+03,9.459962756052141541e-01
2.162457337883959099e+03,9.459962756052141541e-01
2.169215017064846506e+03,9.450651769087523579e-01
2.169078498293515167e+03,9.450651769087523579e-01
2.167508532423208180e+03,9.450651769087523579e-01
2.167372013651877296e+03,9.450651769087523579e-01
2.165938566552901193e+03,9.450651769087523579e-01
2.165733788395904412e+03,9.450651769087523579e-01
2.164300341296928309e+03,9.450651769087523579e-01
2.164095563139931528e+03,9.450651769087523579e-01
2.162593856655289983e+03,9.450651769087523579e-01
2.162457337883959099e+03,9.450651769087523579e-01
2.169215017064846506e+03,9.441340782122904507e-01
2.169146757679181064e+03,9.441340782122904507e-01
2.169078498293515167e+03,9.441340782122904507e-01
2.167508532423208180e+03,9.441340782122904507e-01
2.167372013651877296e+03,9.441340782122904507e-01
2.165938566552901193e+03,9.441340782122904507e-01
2.165733788395904412e+03,9.441340782122904507e-01
2.164300341296928309e+03,9.441340782122904507e-01
2.164095563139931528e+03,9.441340782122904507e-01
2.162593856655289983e+03,9.441340782122904507e-01
2.162457337883959099e+03,9.441340782122904507e-01
2.169215017064846506e+03,9.432029795158286545e-01
2.169078498293515167e+03,9.432029795158286545e-01
2.167508532423208180e+03,9.432029795158286545e-01
2.167372013651877296e+03,9.432029795158286545e-01
2.165938566552901193e+03,9.432029795158286545e-01
2.165733788395904412e+03,9.432029795158286545e-01
2.164300341296928309e+03,9.432029795158286545e-01
2.164095563139931528e+03,9.432029795158286545e-01
2.162593856655289983e+03,9.432029795158286545e-01
2.162457337883959099e+03,9.432029795158286545e-01
2.169215017064846506e+03,9.422718808193668583e-01
2.169078498293515167e+03,9.422718808193668583e-01
2.167508532423208180e+03,9.422718808193668583e-01
2.167372013651877296e+03,9.422718808193668583e-01
2.165938566552901193e+03,9.422718808193668583e-01
2.165733788395904412e+03,9.422718808193668583e-01
2.164300341296928309e+03,9.422718808193668583e-01
2.164095563139931528e+03,9.422718808193668583e-01
2.162593856655289983e+03,9.422718808193668583e-01
2.162457337883959099e+03,9.422718808193668583e-01
2.169215017064846506e+03,9.413407821229050620e-01
2.169078498293515167e+03,9.413407821229050620e-01
2.167508532423208180e+03,9.413407821229050620e-01
2.167372013651877296e+03,9.413407821229050620e-01
2.165938566552901193e+03,9.413407821229050620e-01
2.165733788395904412e+03,9.413407821229050620e-01
2.164300341296928309e+03,9.413407821229050620e-01
2.164095563139931528e+03,9.413407821229050620e-01
2.162593856655289983e+03,9.413407821229050620e-01
2.162457337883959099e+03,9.413407821229050620e-01
2.169215017064846506e+03,9.404096834264431548e-01
2.169078498293515167e+03,9.404096834264431548e-01
2.167508532423208180e+03,9.404096834264431548e-01
2.167372013651877296e+03,9.404096834264431548e-01
2.165938566552901193e+03,9.404096834264431548e-01
2.165733788395904412e+03,9.404096834264431548e-01
2.164300341296928309e+03,9.404096834264431548e-01
2.164095563139931528e+03,9.404096834264431548e-01
2.162593856655289983e+03,9.404096834264431548e-01
2.162457337883959099e+03,9.404096834264431548e-01
2.169215017064846506e+03,9.394785847299813586e-01
2.169078498293515167e+03,9.394785847299813586e-01
2.167508532423208180e+03,9.394785847299813586e-01
2.167372013651877296e+03,9.394785847299813586e-01
2.165938566552901193e+03,9.394785847299813586e-01
2.165733788395904412e+03,9.394785847299813586e-01
2.164300341296928309e+03,9.394785847299813586e-01
2.164095563139931528e+03,9.394785847299813586e-01
2.162593856655289983e+03,9.394785847299813586e-01
2.162457337883959099e+03,9.394785847299813586e-01
2.169215017064846506e+03,9.385474860335195624e-01
2.169078498293515167e+03,9.385474860335195624e-01
2.167508532423208180e+03,9.385474860335195624e-01
2.167372013651877296e+03,9.385474860335195624e-01
2.165938566552901193e+03,9.385474860335195624e-01
2.165733788395904412e+03,9.385474860335195624e-01
2.164300341296928309e+03,9.385474860335195624e-01
2.164095563139931528e+03,9.385474860335195624e-01
2.162593856655289983e+03,9.385474860335195624e-01
2.162457337883959099e+03,9.385474860335195624e-01
2.169215017064846506e+03,9.376163873370577662e-01
2.169078498293515167e+03,9.376163873370577662e-01
